epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2910.72,1.74851,2.56891,1.70219,1.44606,0,0.32087,0.41535,0.33556,0.14206,0.36494,0.38802,0.33752,0.13049,2.19473,2.68407,1.85679,1.44982,0,0.00960131,0.00960131,0.00960131
29,3013.99,1.74252,2.57304,1.6868,1.4533,0,0.36856,0.38922,0.33857,0.14561,0.35879,0.34576,0.30732,0.11648,2.15201,2.82426,1.87052,1.44195,0,0.00957172,0.00957172,0.00957172
30,3123.36,1.74072,2.54983,1.65925,1.44196,0,0.358,0.29556,0.28832,0.12391,0.37545,0.35229,0.30462,0.11607,2.28033,2.76671,2.03013,1.48972,0,0.00954112,0.00954112,0.00954112
31,3237.41,1.72407,2.55629,1.65719,1.44743,0,0.41384,0.38619,0.36457,0.15739,0.40861,0.37623,0.35549,0.13605,2.12769,2.69561,1.77804,1.43151,0,0.00950953,0.00950953,0.00950953
32,3351.75,1.7249,2.55224,1.64529,1.43215,0,0.42169,0.39331,0.36658,0.16366,0.42297,0.36809,0.36656,0.14133,2.15408,2.6785,1.79896,1.42443,0,0.00947695,0.00947695,0.00947695
33,3464.97,1.7215,2.55422,1.63746,1.44325,0,0.43388,0.37536,0.38164,0.16561,0.46351,0.38668,0.36814,0.14652,2.11858,2.69819,1.76028,1.43511,0,0.00944338,0.00944338,0.00944338
34,3577.58,1.71169,2.52878,1.6262,1.43268,0,0.42941,0.38316,0.38371,0.16866,0.43322,0.39452,0.38708,0.15638,2.15721,2.62032,1.75792,1.43069,0,0.00940884,0.00940884,0.00940884
35,3691.79,1.72325,2.52169,1.62029,1.43108,0,0.45623,0.35001,0.3604,0.158,0.47805,0.35213,0.36301,0.14437,2.16284,2.69984,1.77169,1.4315,0,0.00937334,0.00937334,0.00937334
36,3804.98,1.71768,2.52705,1.61473,1.4324,0,0.39086,0.42072,0.38063,0.17057,0.46703,0.38563,0.37571,0.1523,2.07703,2.65275,1.74663,1.41259,0,0.00933688,0.00933688,0.00933688
37,3914.1,1.6995,2.49649,1.59722,1.42112,0,0.379,0.37946,0.35431,0.15737,0.38751,0.40308,0.35386,0.13547,2.18249,2.62723,1.81147,1.42885,0,0.00929948,0.00929948,0.00929948
38,4029.73,1.68462,2.50211,1.59055,1.4264,0,0.43288,0.39743,0.37501,0.16625,0.40476,0.40141,0.3613,0.14048,2.09939,2.6832,1.74223,1.4154,0,0.00926113,0.00926113,0.00926113
39,4144.34,1.68896,2.48897,1.58448,1.41935,0,0.45528,0.38073,0.37301,0.16374,0.4297,0.36546,0.34719,0.13729,2.10735,2.69439,1.73345,1.41426,0,0.00922186,0.00922186,0.00922186
40,4258.29,1.68472,2.49737,1.57001,1.42141,0,0.43897,0.36742,0.37562,0.17115,0.4816,0.42095,0.39345,0.14783,2.10361,2.60871,1.74872,1.40006,0,0.00918167,0.00918167,0.00918167
41,4371.59,1.67217,2.46797,1.56024,1.40764,0,0.41956,0.39763,0.38384,0.17523,0.42313,0.42642,0.37943,0.1491,2.11823,2.60692,1.71955,1.3934,0,0.00914058,0.00914058,0.00914058
42,4485.81,1.65275,2.4615,1.55016,1.40558,0,0.44358,0.40283,0.39175,0.1717,0.40881,0.40659,0.37224,0.14782,2.08744,2.64368,1.69293,1.41083,0,0.00909858,0.00909858,0.00909858
43,4599.87,1.6693,2.46901,1.55389,1.40978,0,0.43884,0.39074,0.38641,0.17332,0.41448,0.39238,0.3612,0.14262,2.09626,2.68166,1.74965,1.40757,0,0.0090557,0.0090557,0.0090557
44,4713.06,1.65643,2.45307,1.54292,1.40467,0,0.39948,0.39358,0.37212,0.16826,0.43256,0.39888,0.36912,0.14759,2.09516,2.61697,1.71001,1.40909,0,0.00901194,0.00901194,0.00901194
45,4826.6,1.66606,2.44299,1.54469,1.40428,0,0.40399,0.41709,0.38993,0.17545,0.38917,0.42283,0.37135,0.1477,2.09693,2.62263,1.70157,1.38825,0,0.00896731,0.00896731,0.00896731
46,4940.96,1.64773,2.45165,1.51717,1.397,0,0.40831,0.40988,0.38307,0.17667,0.44704,0.41951,0.37637,0.14827,2.07817,2.58662,1.71636,1.4019,0,0.00892183,0.00892183,0.00892183
47,5054.53,1.63921,2.43122,1.5222,1.39817,0,0.43812,0.42061,0.38726,0.1747,0.44585,0.43185,0.38939,0.15076,2.13062,2.58135,1.73133,1.42204,0,0.0088755,0.0088755,0.0088755
48,5167.73,1.62935,2.42358,1.51982,1.38901,0,0.41876,0.375,0.36699,0.15556,0.50082,0.38492,0.38153,0.14344,2.22036,2.61307,1.79546,1.44614,0,0.00882834,0.00882834,0.00882834
49,5281.82,1.63697,2.41726,1.50132,1.39147,0,0.45617,0.40372,0.39313,0.17531,0.46109,0.40899,0.38688,0.15312,2.0998,2.64155,1.68969,1.41113,0,0.00878036,0.00878036,0.00878036
50,5395.76,1.64289,2.41593,1.50763,1.39145,0,0.42835,0.38695,0.38918,0.17825,0.4705,0.37884,0.3784,0.15134,2.06626,2.62213,1.69456,1.39609,0,0.00873157,0.00873157,0.00873157
51,5509.32,1.62842,2.39505,1.49177,1.38632,0,0.41843,0.41645,0.38093,0.17398,0.45058,0.42013,0.40434,0.15691,2.12866,2.58938,1.7226,1.41098,0,0.00868198,0.00868198,0.00868198
52,5622.74,1.61582,2.40768,1.48456,1.38252,0,0.4066,0.42115,0.3947,0.17948,0.45729,0.42108,0.39441,0.15011,2.08796,2.62425,1.66939,1.4073,0,0.00863161,0.00863161,0.00863161
53,5737.36,1.62552,2.40794,1.4856,1.38288,0,0.4195,0.43007,0.39557,0.18105,0.47396,0.41205,0.40537,0.16132,2.0719,2.5922,1.6634,1.399,0,0.00858046,0.00858046,0.00858046
54,5878.34,1.6187,2.38796,1.47685,1.37676,0,0.42945,0.40661,0.39668,0.1826,0.47213,0.38824,0.40509,0.15779,2.09173,2.62889,1.6596,1.41321,0,0.00852856,0.00852856,0.00852856
55,5992.36,1.60712,2.37724,1.46019,1.38364,0,0.41385,0.4294,0.40287,0.18178,0.42877,0.43613,0.40092,0.15744,2.07841,2.61506,1.65719,1.39684,0,0.0084759,0.0084759,0.0084759
56,6106.12,1.6074,2.38058,1.45967,1.37765,0,0.38223,0.41421,0.38621,0.1804,0.37517,0.44422,0.38907,0.15439,2.08835,2.61304,1.6841,1.40591,0,0.00842252,0.00842252,0.00842252
57,6219.82,1.60858,2.36321,1.4541,1.3787,0,0.41947,0.43831,0.39527,0.17976,0.41936,0.41258,0.38378,0.15017,2.06891,2.68453,1.6788,1.40079,0,0.00836841,0.00836841,0.00836841
58,6334,1.60445,2.37207,1.44598,1.37595,0,0.46032,0.41698,0.40088,0.1837,0.45363,0.42916,0.39435,0.15424,2.07328,2.61621,1.65567,1.4011,0,0.00831359,0.00831359,0.00831359
59,6447.52,1.59241,2.36445,1.44372,1.36929,0,0.42343,0.41988,0.39525,0.1845,0.4286,0.43217,0.39468,0.15764,2.07442,2.6433,1.66625,1.39977,0,0.00825808,0.00825808,0.00825808
60,6559.76,1.59539,2.36908,1.42405,1.36687,0,0.43664,0.45548,0.40672,0.18386,0.4419,0.45456,0.39666,0.15429,2.06234,2.60594,1.64396,1.40217,0,0.00820189,0.00820189,0.00820189
61,6672.99,1.58521,2.35582,1.42141,1.3687,0,0.43956,0.43702,0.40531,0.18617,0.42275,0.42655,0.3983,0.161,2.08737,2.62317,1.65995,1.39857,0,0.00814503,0.00814503,0.00814503
62,6786.33,1.58526,2.35076,1.43253,1.35737,0,0.45523,0.43,0.40831,0.18559,0.39287,0.41433,0.36902,0.14637,2.05897,2.63752,1.65084,1.39034,0,0.00808752,0.00808752,0.00808752
63,6899.31,1.57629,2.34502,1.41595,1.36619,0,0.47624,0.42586,0.41352,0.18771,0.46577,0.42287,0.40113,0.16004,2.07048,2.6043,1.63468,1.39901,0,0.00802938,0.00802938,0.00802938
64,7012.32,1.56799,2.31859,1.399,1.3634,0,0.45942,0.44576,0.42045,0.1922,0.44711,0.46266,0.40578,0.16121,2.07587,2.59431,1.61146,1.39536,0,0.0079706,0.0079706,0.0079706
65,7125.4,1.57651,2.33283,1.40519,1.35196,0,0.39794,0.45747,0.40055,0.18368,0.44632,0.48911,0.41089,0.16124,2.0878,2.63588,1.63432,1.39873,0,0.00791122,0.00791122,0.00791122
66,7238.44,1.57129,2.32173,1.39901,1.35503,0,0.41021,0.41488,0.40438,0.189,0.41543,0.43365,0.38189,0.15304,2.06699,2.58459,1.62372,1.39525,0,0.00785124,0.00785124,0.00785124
67,7351.68,1.56674,2.30592,1.3849,1.34237,0,0.45292,0.4259,0.40499,0.18463,0.45818,0.43403,0.412,0.15814,2.082,2.58018,1.61663,1.40332,0,0.00779069,0.00779069,0.00779069
68,7464.32,1.54402,2.29687,1.3644,1.34055,0,0.4995,0.43036,0.42745,0.19078,0.50562,0.40637,0.40828,0.16428,2.06316,2.59099,1.63271,1.39724,0,0.00772956,0.00772956,0.00772956
69,7578.34,1.54559,2.28897,1.36783,1.3412,0,0.42539,0.47203,0.40812,0.18753,0.44462,0.46595,0.39541,0.15755,2.06005,2.61646,1.6293,1.38754,0,0.00766789,0.00766789,0.00766789
70,7691.06,1.55669,2.29705,1.37235,1.34573,0,0.46531,0.4453,0.42332,0.191,0.47336,0.43972,0.40188,0.15832,2.0594,2.60667,1.62342,1.3931,0,0.00760568,0.00760568,0.00760568
71,7804.85,1.54353,2.2993,1.36162,1.34462,0,0.44878,0.42437,0.40729,0.18147,0.48917,0.44141,0.4158,0.15425,2.08589,2.58586,1.6315,1.41642,0,0.00754296,0.00754296,0.00754296
72,7918.06,1.54142,2.28393,1.35858,1.34711,0,0.47536,0.42921,0.41362,0.19031,0.48485,0.44436,0.4181,0.16351,2.05127,2.57758,1.61394,1.39305,0,0.00747973,0.00747973,0.00747973
73,8031.28,1.53412,2.28355,1.34556,1.33457,0,0.49291,0.41213,0.41847,0.19226,0.50172,0.43084,0.42107,0.16397,2.06038,2.60795,1.6129,1.3901,0,0.00741601,0.00741601,0.00741601
74,8144.69,1.52025,2.28301,1.3433,1.33359,0,0.44944,0.44367,0.416,0.1957,0.4591,0.44929,0.39796,0.15699,2.05869,2.61758,1.61132,1.40091,0,0.00735181,0.00735181,0.00735181
75,8258.22,1.51686,2.27531,1.33047,1.32597,0,0.4509,0.44525,0.41757,0.19706,0.46092,0.4693,0.40389,0.15968,2.05254,2.6254,1.61092,1.39951,0,0.00728717,0.00728717,0.00728717
76,8371.46,1.52476,2.2677,1.33593,1.33297,0,0.4391,0.44936,0.41453,0.19518,0.44534,0.4459,0.39674,0.15915,2.04529,2.60144,1.61873,1.39917,0,0.00722208,0.00722208,0.00722208
77,8484.61,1.54112,2.25033,1.33149,1.33568,0,0.46314,0.4482,0.41573,0.19506,0.46765,0.45192,0.4137,0.1631,2.04338,2.58436,1.60315,1.39811,0,0.00715656,0.00715656,0.00715656
78,8598.14,1.51946,2.25153,1.30555,1.32383,0,0.47557,0.4297,0.41926,0.19776,0.51238,0.42626,0.42599,0.1726,2.0469,2.60856,1.58419,1.39316,0,0.00709064,0.00709064,0.00709064
