x,y,z,nx,ny,nz,curvature,roughness,boundary_score,boundary_flag
14.904788355744724,11.03145433990248,63.41551647316011,-0.4010864951965026,0.915360368638668,0.035284825303068215,0.00014747886715472282,0.0113820105871639,0.22604393567131012,0.0
42.427464763236756,13.531484737542831,46.263747943701404,0.3387908695014449,0.9347763644975875,0.10683583256159285,0.18088160895429298,0.342284517639697,0.5633681542344433,1.0
41.05399896428068,16.152781722712426,79.24486901754467,0.051554473941495135,-0.9952354117005242,0.08275633820985355,1.6046354086196882e-05,0.0026279746465336234,0.1459629740546864,0.0
19.62301098893137,9.011221891327361,60.273107561334854,-0.2707502412393385,0.962489382282444,0.017564050284592677,3.973373629343241e-05,0.005575580543007132,0.23404565396955074,0.0
43.197642223855794,17.81932330207124,0.7869081040025744,3.710249362805787e-06,-0.7071358918615228,0.7070776693033395,4.8630425404648945e-09,5.3023968038325976e-05,0.1782901504152508,0.0
6.062383183815909,13.000822892962773,3.672181704926759,-0.90630774101076,0.4226183604434485,2.539316753006946e-07,2.2794288964301222e-15,3.802239967857546e-08,0.1648344051664271,0.0
12.124250158707515,10.007303915962265,55.258709276583275,-0.47141964467617187,0.880814763482765,0.043918914424114455,0.00010395431940003389,0.00810039116435552,0.15941426631954295,0.0
20.26453425255677,12.997884275052922,54.24814858599596,-0.21604685800323278,0.976366208914874,0.005725490033872096,3.736070569186517e-17,3.379367057801816e-09,0.07391712903419177,0.0
16.832572254372423,5.796277248423203,-4.944824197488982e-16,7.63065811985894e-18,9.303214559458855e-17,1.0,1.7425305696922918e-33,3.59227452127703e-17,0.21774443831248644,0.0
35.77013253113918,13.869448148185157,43.38784325948189,-0.04782341132367172,-0.9972054414428752,0.05739537338573386,5.3509397165147e-05,0.005983387129073599,0.17852288395105267,0.0
26.748806321574314,14.46843828907122,82.25997730318059,0.21222666685356154,-0.9770713091020623,0.017073336106622723,1.8635708463404411e-06,0.001217706115339625,0.22314113726983625,0.0
30.53523924056833,13.416254857155138,16.714883873537,0.057813469982978906,0.9434195035319638,0.3265229594439414,0.006633320776230872,0.06952674780217279,0.20278140503016198,0.0
15.919292998577749,8.910958653875024,32.274939764642404,-0.17606553369108766,0.9838123721924819,0.03337879816700803,4.2670539868070424e-05,0.005181359565058201,0.18570102672649824,0.0
9.242596845950427,6.562459367880272,76.05116734717352,-0.9273469310794757,0.37385206174968677,0.016195843386091372,0.04233678448785655,0.17375078522771734,0.29812637897813177,1.0
42.44309954198326,13.096386138887475,40.881116967119155,0.028024466463900475,-0.9377876707993189,0.3460764565471075,0.19823424687368532,0.4073371340427894,0.6202912573134364,1.0
1.8382185770345139,3.541376301623264,8.104654514612097,-0.5098643353635375,-0.6051347708472258,0.6114329633213882,0.07682330002414517,0.19257766272488544,0.31305306316502435,1.0
25.558057084601316,10.1765319193097,18.985806838704995,0.047438805915413426,-0.998797373792717,0.012384094560812372,5.8356273837899555e-05,0.006221437372639829,0.1508744327668825,0.0
22.141650540380606,14.594233300542413,9.237908701104509,-0.018271437132889198,0.888504418009928,0.45850414803133294,0.006829825333689908,0.07755910053007098,0.19899724396986648,0.0
