epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,277.817,1.22377,0.89329,0.91872,0.89067,0.82999,0.87447,0.65236,0.93139,0.66032,0.87714,0.00130019,0.00130019,0.00130019
43,284.492,1.2447,0.89438,0.91189,0.89385,0.82945,0.87889,0.64948,0.93051,0.64963,0.8746,0.00129406,0.00129406,0.00129406
44,291.021,1.23753,0.87124,0.9057,0.86458,0.84626,0.88905,0.66342,0.90619,0.66533,0.87548,0.00128781,0.00128781,0.00128781
45,297.605,1.1968,0.85466,0.90384,0.89996,0.81529,0.88389,0.6577,0.92267,0.65857,0.87766,0.00128143,0.00128143,0.00128143
46,304.194,1.21973,0.86593,0.90317,0.88331,0.83554,0.88373,0.65337,0.94424,0.66845,0.88015,0.00127493,0.00127493,0.00127493
47,310.779,1.16368,0.85703,0.90135,0.87266,0.85813,0.87978,0.6534,0.92047,0.68719,0.87486,0.00126831,0.00126831,0.00126831
48,317.375,1.17337,1.16547,0.91614,0.89114,0.83109,0.87305,0.6461,0.93669,0.69473,0.87571,0.00126157,0.00126157,0.00126157
49,325.033,1.1974,0.85693,0.90108,0.87572,0.82501,0.86592,0.64268,0.94369,0.67312,0.88705,0.00125471,0.00125471,0.00125471
50,331.929,1.20577,0.86666,0.90782,0.8932,0.80826,0.88249,0.65365,0.90221,0.67367,0.87669,0.00124774,0.00124774,0.00124774
51,338.749,1.20957,0.85417,0.90405,0.88354,0.83623,0.88644,0.65637,0.89257,0.65484,0.86816,0.00124066,0.00124066,0.00124066
52,345.708,1.17532,0.83906,0.8997,0.88756,0.82082,0.87862,0.66153,0.89401,0.64449,0.87104,0.00123346,0.00123346,0.00123346
53,352.532,1.18238,0.84222,0.89777,0.88628,0.85042,0.88098,0.65987,0.90359,0.66258,0.87564,0.00122615,0.00122615,0.00122615
54,359.657,1.20663,0.83697,0.89678,0.88097,0.83249,0.87946,0.65436,0.9137,0.65038,0.8766,0.00121873,0.00121873,0.00121873
55,366.755,1.20189,0.8447,0.89852,0.90765,0.82117,0.8839,0.66496,0.88179,0.64348,0.87356,0.00121121,0.00121121,0.00121121
56,373.684,1.20737,0.84421,0.89981,0.86279,0.81784,0.87722,0.6561,0.88099,0.66897,0.87442,0.00120358,0.00120358,0.00120358
57,380.405,1.18439,0.83667,0.9014,0.89796,0.82663,0.8915,0.64727,0.92727,0.63778,0.86764,0.00119585,0.00119585,0.00119585
58,387.419,1.15611,0.81266,0.89572,0.88161,0.80811,0.8807,0.64562,0.95315,0.64504,0.87629,0.00118801,0.00118801,0.00118801
