view_id,surface_x,surface_y,surface_z,camera_x,camera_y,camera_z,target_x,target_y,target_z,view_dir_x,view_dir_y,view_dir_z,normal_x,normal_y,normal_z,up_x,up_y,up_z,qw,qx,qy,qz,footprint_width,footprint_height,effective_radius,curvature,roughness,boundary_score,boundary_flag,priority_score,spacing_radius,region_type
0,41.69574507957074,15.960430236724644,76.49145266963973,39.48895542975032,5.57743137923989,93.44206959548983,41.69574507957074,15.960430236724644,76.49145266963973,0.11033948249102109,0.5191499428742377,-0.8475308462925047,-0.11033948249102098,-0.5191499428742377,0.8475308462925049,0.17619744736172788,0.829013265853147,0.5307461394892201,0.028858606895779303,0.1004570028004222,0.9558628634561595,0.2745938048496041,20.82268202206985,14.558809370648094,4.73161304546063,0.28402736879049073,0.47379624111254914,0.8400073605892946,1,1.0,2.1292258704572835,boundary_high_curvature
1,41.92828039023922,10.447406749364628,21.63214780337333,38.99421958344343,23.924597261556546,7.149170793099888,41.92828039023922,10.447406749364628,21.63214780337333,0.1467030403397896,-0.6738595256095958,0.7241488505136721,-0.1467030403397895,0.6738595256095958,-0.7241488505136721,-0.15404307613435525,0.7075749348269326,0.68964370677889,0.9231517131730678,0.3692522076630928,0.039728854490108725,0.09932441654732237,20.82268202206985,14.558809370648094,4.73161304546063,0.2753380275400318,0.486589131238308,0.8158243584137198,1,0.9917375801415321,2.156592071969863,boundary_high_curvature
2,42.66698119405247,12.953025924220679,39.468693361137866,40.10220423522388,30.9575323737377,47.79093264277126,42.66698119405247,12.953025924220679,39.468693361137866,0.12823884794142942,-0.900225322475851,-0.41611196408166967,-0.1282388479414296,0.9002253224758511,0.4161119640816698,0.05868352949572059,-0.411953164835312,0.9093133856642028,0.5389667075649165,0.8393555124748137,0.05948365926015178,0.038195629276121974,20.82268202206985,14.558809370648094,4.73161304546063,0.2727466287545272,0.49578998327702517,0.814449836124302,1,0.9915080569006434,2.1573522825824414,boundary_high_curvature
3,42.329924671875276,13.686288012607893,61.30462170631261,61.149328063996855,8.548084927355493,56.89679627654505,42.329924671875276,13.686288012607893,61.30462170631261,-0.9409701696060789,0.25691015426262,0.22039127148837814,0.9409701696060789,-0.2569101542626199,-0.22039127148837823,0.21260934688953742,-0.05804806769797208,0.9754115477334355,-0.47406665806225734,-0.3789031464518528,0.49622250036117554,0.6208513827462027,20.82268202206985,14.558809370648094,4.73161304546063,0.27919006135546054,0.47085047341152253,0.8108015820792165,1,0.991223269549329,2.1582955350651036,boundary_high_curvature
4,43.736055806378815,12.396201204776538,44.63037107322658,52.86968102467625,29.975645080187217,47.3762850199786,43.736055806378815,12.396201204776538,44.63037107322658,-0.45668126091487155,-0.8789721937705338,-0.13729569733760127,0.45668126091487166,0.8789721937705339,0.13729569733760114,-0.06329981469452087,-0.12183284436906798,0.9905301063029744,0.6380139113202178,0.7325476243163016,-0.17894643549773018,-0.1558537785652842,20.82268202206985,14.558809370648094,4.73161304546063,0.28834682372269127,0.4028623312544576,0.7735346107426582,1,0.977314704272134,2.204362499301556,boundary_high_curvature
5,42.52001349587384,12.917720060568776,51.780511008997365,51.80461239489357,-4.701341806729282,53.61487253297383,42.52001349587384,12.917720060568776,51.780511008997365,-0.46422994495098635,0.8809530933649029,-0.09171807619882308,0.46422994495098646,-0.8809530933649028,0.091718076198823,-0.04275850395192491,0.08114133250943281,0.9957850141965319,-0.16181875726394276,-0.1774082355674109,0.7172066341384954,0.654183194295101,20.82268202206985,14.558809370648094,4.73161304546063,0.26975768704077346,0.466473246754482,0.7673114079202368,1,0.9746764191116005,2.213100840439813,boundary_high_curvature
6,41.849932947615564,15.224040376440632,80.49952971547202,52.6630366687602,-1.2263678135151412,84.02952380889545,41.849932947615564,15.224040376440632,80.49952971547202,-0.5406551860572316,0.8225204094977884,-0.17649970467117124,0.5406551860572316,-0.8225204094977886,0.176499704671171,-0.09694748906116148,0.14749010174837718,0.9843006930054401,-0.1839504203562097,-0.2198694126308234,0.7347838414969142,0.6147457934099169,20.82268202206985,14.558809370648094,4.73161304546063,0.2664696796744931,0.4716119993898701,0.7645883025597422,1,0.9716735916230689,2.223046592842416,boundary_high_curvature
7,43.04792627567263,12.227945240048967,31.11386049795508,62.112045331988206,13.85232976511359,36.93801189720252,43.04792627567263,12.227945240048967,31.11386049795508,-0.9532059528157788,-0.08121922625323111,-0.29120756996237207,0.9532059528157788,0.08121922625323107,0.2912075699623719,-0.290156189441448,-0.02472315781222873,0.9566598931682097,0.4384541079874596,0.5917832108959996,-0.5435038328133545,-0.4026837595529961,20.82268202206985,14.558809370648094,4.73161304546063,0.2684592390938519,0.4574204452335975,0.7739028853615562,1,0.9688925284302805,2.23225783326069,boundary_high_curvature
8,43.513979592367065,12.33006159863405,33.32583220600752,47.71628062921304,30.506112886458897,40.53498094757777,43.513979592367065,12.33006159863405,33.32583220600752,-0.21011505184229867,-0.9088025643912424,-0.36045743707851263,0.21011505184229867,0.9088025643912424,0.36045743707851274,-0.08119587178910546,-0.351193385970774,0.9327756622333101,0.5618381347452385,0.8194434093814241,-0.09349447770111487,-0.0641029781424775,20.82268202206985,14.558809370648094,4.73161304546063,0.27172585973488267,0.43690758177899836,0.7667617691190949,1,0.965483110651088,2.2435502652097066,boundary_high_curvature
9,43.43366386225432,11.922187762525859,28.205178481970357,52.75027277677305,22.834622644207595,42.13785816991861,43.43366386225432,11.922187762525859,28.205178481970357,-0.46583044572593657,-0.5456217440840868,-0.6966339843974125,0.4658304457259365,0.5456217440840868,0.6966339843974126,-0.4523295725581052,-0.5298083294992787,0.7174267152696403,0.36540518239594905,0.8641424097162241,-0.31870815478826997,-0.13476668905733685,20.82268202206985,14.558809370648094,4.73161304546063,0.27732223204610074,0.414174077848049,0.7768191252059531,1,0.9647907445492272,2.245843471145566,boundary_high_curvature
