epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5101.69,1.56298,2.36935,1.5315,1.27751,0,0.45553,0.42138,0.40321,0.17446,0.43197,0.3751,0.35574,0.12887,2.03124,2.28691,1.65766,1.32501,0,0.00960131,0.00960131,0.00960131
29,5283.59,1.56561,2.35996,1.52236,1.26956,0,0.43423,0.41137,0.3926,0.17472,0.37906,0.36398,0.32674,0.12412,2.01418,2.26272,1.6872,1.32247,0,0.00957172,0.00957172,0.00957172
30,5465.14,1.55561,2.35228,1.51276,1.27566,0,0.40391,0.4117,0.37085,0.16583,0.36262,0.38065,0.31489,0.11516,2.02775,2.25257,1.6684,1.32794,0,0.00954112,0.00954112,0.00954112
31,5646.6,1.54666,2.35121,1.50501,1.26694,0,0.44939,0.44322,0.39089,0.17558,0.39235,0.38452,0.32621,0.12289,2.01744,2.23367,1.66724,1.31096,0,0.00950953,0.00950953,0.00950953
32,5828.91,1.55243,2.36952,1.51218,1.26471,0,0.4565,0.4154,0.37196,0.15985,0.36527,0.35373,0.30249,0.11179,2.06917,2.39901,1.76081,1.32048,0,0.00947695,0.00947695,0.00947695
33,6010.97,1.55078,2.34039,1.51004,1.26507,0,0.47812,0.42638,0.39655,0.17492,0.4351,0.37483,0.33672,0.12689,2.04488,2.37635,1.6786,1.313,0,0.00944338,0.00944338,0.00944338
34,6192.22,1.54264,2.32317,1.49326,1.26308,0,0.4075,0.46425,0.3874,0.16832,0.41893,0.36282,0.34109,0.12681,2.06053,2.30147,1.66394,1.31967,0,0.00940884,0.00940884,0.00940884
35,6386.54,1.55058,2.34204,1.49831,1.26944,0,0.40869,0.44364,0.40768,0.17837,0.42702,0.3872,0.35322,0.13042,2.02613,2.26051,1.6163,1.31681,0,0.00937334,0.00937334,0.00937334
36,6567.99,1.52695,2.33174,1.48768,1.26175,0,0.4369,0.44905,0.40265,0.18081,0.37705,0.39059,0.32375,0.12422,2.02412,2.30857,1.64346,1.30926,0,0.00933688,0.00933688,0.00933688
37,6750.18,1.54796,2.32852,1.49788,1.26615,0,0.3327,0.23119,0.21927,0.09379,0.30801,0.23274,0.18768,0.05842,2.44836,2.49171,2.39339,1.4684,0,0.00929948,0.00929948,0.00929948
38,6932.27,1.54042,2.34217,1.48702,1.26515,0,0.59044,0.40907,0.40065,0.17179,0.43545,0.37595,0.33556,0.1237,2.04075,2.35135,1.66708,1.30957,0,0.00926113,0.00926113,0.00926113
39,7113.92,1.53655,2.32949,1.48832,1.26128,0,0.44358,0.42312,0.38402,0.16837,0.3781,0.4067,0.33407,0.12392,2.05322,2.31527,1.69408,1.32203,0,0.00922186,0.00922186,0.00922186
40,7296.23,1.53497,2.33077,1.48521,1.25872,0,0.42805,0.45375,0.41419,0.17962,0.43302,0.3963,0.36535,0.13351,2.04066,2.30118,1.66515,1.33019,0,0.00918167,0.00918167,0.00918167
41,7478.37,1.53424,2.32674,1.49866,1.26065,0,0.39096,0.37685,0.35389,0.1564,0.36715,0.35155,0.30478,0.10671,2.11852,2.25611,1.78956,1.34842,0,0.00914058,0.00914058,0.00914058
42,7660.1,1.52935,2.31854,1.47278,1.25981,0,0.42714,0.44167,0.41375,0.18298,0.39155,0.40131,0.34574,0.1285,2.02821,2.34596,1.61681,1.30999,0,0.00909858,0.00909858,0.00909858
43,7841.39,1.53587,2.33395,1.49024,1.25886,0,0.3516,0.26019,0.22094,0.09428,0.3296,0.23501,0.18579,0.06313,2.33254,2.34995,2.18518,1.3997,0,0.0090557,0.0090557,0.0090557
44,8022.65,1.51005,2.32054,1.45397,1.25334,0,0.45872,0.4269,0.40401,0.18001,0.40984,0.3545,0.32903,0.12216,2.05403,2.23597,1.6279,1.30844,0,0.00901194,0.00901194,0.00901194
45,8204.46,1.53508,2.3013,1.47045,1.25406,0,0.39861,0.44646,0.39393,0.17247,0.37122,0.40527,0.33261,0.12325,2.06965,2.23624,1.65642,1.33527,0,0.00896731,0.00896731,0.00896731
46,8386.03,1.52389,2.30587,1.46598,1.25451,0,0.42995,0.47767,0.43377,0.19705,0.3863,0.43106,0.37326,0.1458,2.00736,2.23531,1.56988,1.30447,0,0.00892183,0.00892183,0.00892183
47,8567.39,1.51823,2.29545,1.45797,1.2492,0,0.42239,0.44763,0.39795,0.17957,0.38604,0.38704,0.33452,0.12883,2.03347,2.23347,1.58091,1.30398,0,0.0088755,0.0088755,0.0088755
48,8748.24,1.51744,2.3022,1.45752,1.25606,0,0.44635,0.43525,0.40879,0.18869,0.39343,0.3651,0.3478,0.1343,2.01168,2.33969,1.58671,1.31025,0,0.00882834,0.00882834,0.00882834
49,8930.84,1.51172,2.29219,1.45798,1.24985,0,0.45866,0.42351,0.42101,0.19231,0.44286,0.38514,0.35072,0.13958,1.97899,2.25164,1.59812,1.28662,0,0.00878036,0.00878036,0.00878036
50,9112.62,1.52572,2.30511,1.45761,1.25561,0,0.39762,0.48516,0.42841,0.19752,0.40963,0.39447,0.36514,0.13823,1.99066,2.26706,1.56992,1.288,0,0.00873157,0.00873157,0.00873157
51,9293.84,1.50562,2.27879,1.44574,1.25444,0,0.44924,0.44674,0.41898,0.1868,0.4143,0.37794,0.34712,0.13289,2.01782,2.28562,1.62101,1.29974,0,0.00868198,0.00868198,0.00868198
52,9475.18,1.50938,2.2976,1.43659,1.24978,0,0.47714,0.44878,0.42323,0.19244,0.44418,0.37652,0.34556,0.13341,1.97903,2.23532,1.58702,1.28862,0,0.00863161,0.00863161,0.00863161
53,9657.04,1.51068,2.27526,1.43081,1.2446,0,0.39731,0.37524,0.34716,0.15755,0.37109,0.35128,0.30101,0.10921,2.07313,2.29403,1.70705,1.31984,0,0.00858046,0.00858046,0.00858046
54,9838.72,1.50865,2.29433,1.43999,1.25105,0,0.50275,0.39951,0.414,0.18699,0.53763,0.35802,0.34635,0.13249,2.03378,2.33528,1.58486,1.30948,0,0.00852856,0.00852856,0.00852856
55,10020.7,1.50546,2.28407,1.43581,1.24187,0,0.43577,0.46736,0.42247,0.19234,0.36775,0.3858,0.34883,0.13545,1.98343,2.22113,1.57287,1.28984,0,0.0084759,0.0084759,0.0084759
56,10202.7,1.50232,2.26793,1.43003,1.24394,0,0.44175,0.422,0.41385,0.18193,0.39021,0.38312,0.34336,0.12556,2.05835,2.2121,1.60763,1.31505,0,0.00842252,0.00842252,0.00842252
57,10384.2,1.50198,2.28194,1.43529,1.23996,0,0.43808,0.48478,0.42616,0.19639,0.43881,0.3979,0.37113,0.14082,1.99823,2.27456,1.59224,1.2974,0,0.00836841,0.00836841,0.00836841
58,10565.9,1.50922,2.27016,1.4196,1.24141,0,0.44206,0.45736,0.42499,0.19243,0.40097,0.40201,0.35684,0.13586,1.99251,2.2489,1.56575,1.29932,0,0.00831359,0.00831359,0.00831359
59,10747.6,1.50571,2.28672,1.42311,1.24617,0,0.47986,0.42199,0.42258,0.19003,0.46714,0.39911,0.36351,0.13884,1.97633,2.25184,1.53573,1.28666,0,0.00825808,0.00825808,0.00825808
60,10929.5,1.48848,2.26787,1.41088,1.23715,0,0.53239,0.44877,0.44756,0.20023,0.46163,0.40652,0.37156,0.14241,1.97377,2.26832,1.53872,1.28843,0,0.00820189,0.00820189,0.00820189
61,11112.4,1.50281,2.26431,1.40905,1.24137,0,0.50145,0.43545,0.43395,0.19679,0.4663,0.38869,0.37072,0.14339,1.99315,2.33789,1.57217,1.29457,0,0.00814503,0.00814503,0.00814503
62,11294.4,1.48869,2.26159,1.41169,1.23962,0,0.45072,0.45969,0.43679,0.19587,0.36122,0.42959,0.36474,0.13876,1.97674,2.22652,1.52031,1.28962,0,0.00808752,0.00808752,0.00808752
63,11475.6,1.48593,2.2647,1.40536,1.23735,0,0.48456,0.45151,0.4382,0.20666,0.45207,0.42142,0.38438,0.14551,1.98139,2.2278,1.54353,1.29806,0,0.00802938,0.00802938,0.00802938
64,11658,1.49769,2.27016,1.40917,1.24315,0,0.48358,0.46729,0.45605,0.20836,0.42913,0.39878,0.37107,0.14409,1.96805,2.23895,1.52657,1.2886,0,0.0079706,0.0079706,0.0079706
65,11839.5,1.49529,2.25531,1.39271,1.23906,0,0.50383,0.43426,0.45192,0.21065,0.36434,0.4222,0.37769,0.14779,1.96203,2.20297,1.50906,1.28312,0,0.00791122,0.00791122,0.00791122
66,12021.7,1.48438,2.23023,1.38672,1.23404,0,0.50603,0.45888,0.45343,0.20734,0.46118,0.39464,0.37955,0.14721,1.97598,2.18509,1.50776,1.28464,0,0.00785124,0.00785124,0.00785124
67,12202.8,1.48127,2.24754,1.39051,1.23066,0,0.48416,0.42674,0.44193,0.19945,0.41248,0.39723,0.36924,0.14228,1.99965,2.31067,1.52781,1.28996,0,0.00779069,0.00779069,0.00779069
68,12384.4,1.4948,2.24137,1.41039,1.23538,0,0.5353,0.4248,0.44649,0.20264,0.46331,0.37238,0.37087,0.14384,1.96717,2.26821,1.51449,1.27656,0,0.00772956,0.00772956,0.00772956
69,12565.5,1.47534,2.2473,1.38051,1.22839,0,0.44182,0.50331,0.44787,0.19921,0.4039,0.46742,0.3798,0.143,1.96701,2.23543,1.51666,1.28332,0,0.00766789,0.00766789,0.00766789
70,12746.7,1.47484,2.23582,1.38585,1.23296,0,0.47128,0.48493,0.46474,0.20562,0.41032,0.44578,0.37015,0.14217,1.95771,2.20394,1.51001,1.27952,0,0.00760568,0.00760568,0.00760568
71,12927.8,1.46819,2.24548,1.38738,1.22993,0,0.47166,0.45971,0.44145,0.20557,0.39006,0.43389,0.37559,0.14621,1.94505,2.19566,1.49677,1.2805,0,0.00754296,0.00754296,0.00754296
