route_order,candidate_view_id,camera_x,camera_y,camera_z,target_x,target_y,target_z,view_dir_x,view_dir_y,view_dir_z,qw,qx,qy,qz,region_type,priority_score,newly_covered_points,cumulative_coverage_ratio,transition_distance
0,26,40.68399664363254,0.7270086542443739,69.95726605776255,42.365691722981424,13.114323892068809,54.34552935556134,0.0840847539674442,0.6193657618912216,-0.7805868351100606,0.022329543955345175,0.06361068780246021,0.9414069778540672,0.3304662976942067,boundary_high_curvature,0.900300071473136,801,0.01602,0.0
1,12,41.89745100023184,-4.270336484732086,71.39844471667392,43.99259726178949,14.13444708728212,63.856939309263744,0.10475731307788258,0.9202391786007104,-0.37707527037050886,0.03161246556220334,0.047002333828009175,0.8284494044900841,0.5571920825315306,boundary_high_curvature,0.9585606547042942,623,0.02848,5.340685896072062
2,41,50.71832569925665,-3.5434956370643924,77.07914627804135,44.17145056093652,15.336134036464994,76.24367676116213,-0.3273437569160066,0.9439814836764693,-0.04177347584396074,-0.1149871351709621,-0.11989520312150741,0.711696478978527,0.6825622468487358,boundary_high_curvature,0.7863705342601311,512,0.03872,10.516962408559646
3,6,52.6630366687602,-1.2263678135151412,84.02952380889545,41.849932947615564,15.224040376440632,80.49952971547202,-0.5406551860572316,0.8225204094977884,-0.17649970467117124,-0.1839504203562097,-0.2198694126308234,0.7347838414969142,0.6147457934099169,boundary_high_curvature,0.9716735916230689,458,0.04788,7.580153687556408
4,36,47.9488983311465,-2.003241857294018,92.67179049475635,44.15547139801875,17.027294689242645,87.82941598900472,-0.18967134665638774,0.9515268273268331,-0.24211872528758177,-0.06046167209379911,-0.0774035928126204,0.7842627407084242,0.6126051122573424,boundary_high_curvature,0.8094971790331537,305,0.05398,9.87498896280891
5,127,37.785004412205424,-6.403361128002018,82.18136999255641,32.16923503533913,12.778713221511229,81.4664168782918,-0.2807884688433148,0.9591037174756624,-0.03574765571323084,-0.09854295922255049,-0.10213091615068007,0.712350408031636,0.6873248557494828,surface,0.11620555748023122,696,0.0679,15.254989724838236
6,65,33.94724210930893,-7.542557131498324,83.58291616345076,27.81440525222687,11.491691850503283,83.29020850112083,-0.30664184285410306,0.9517124491000803,-0.01463538311649657,-0.10894998155232795,-0.11055634718435947,0.703629864101503,0.6934062373252056,boundary,0.36302062119181056,399,0.07588,4.2415231576715415
7,45,37.86291140174154,-2.8394066579322796,86.76395280745808,40.98811317152328,16.397326879410514,82.27160412203483,0.15626008848908696,0.9618366768671397,-0.2246174342711626,0.050085553034443876,0.06294404904352079,0.779965873500622,0.6206309050004298,boundary_high_curvature,0.7697857606425679,111,0.0781,6.897179460853659
8,0,39.48895542975032,5.57743137923989,93.44206959548983,41.69574507957074,15.960430236724644,76.49145266963973,0.11033948249102109,0.5191499428742377,-0.8475308462925047,0.028858606895779303,0.1004570028004222,0.9558628634561595,0.2745938048496041,boundary_high_curvature,1.0,150,0.0811,10.866665797732196
9,97,40.94148300536023,6.123635956608636,107.53076395298257,39.69720371298612,15.669529538006651,90.0,-0.062213964618705486,0.47729467906990086,-0.8765381976491285,-0.01609077115348239,-0.06273201771581065,0.966609431351602,0.24793545179970128,high_curvature,0.29719472573157313,230,0.0857,14.173901527000023
10,84,31.84332402947961,6.616244939676076,108.89981063812425,31.184676899011727,13.124957700320238,90.0,-0.03293235652339418,0.325435638032208,-0.9449905319062122,-0.017178113160129613,0.0028733928353024242,0.9861475597326803,0.16495346760572113,high_curvature,0.32425173057575424,431,0.09432,9.213764116076192
11,100,26.527505584267665,4.962193059869524,108.78404367277209,26.886868300637403,11.82007624183424,90.0,0.017968135818486882,0.3428941590982358,-0.9392021836386041,0.009418248090336775,-0.0016652085594922868,0.984681836381557,0.1740982618626815,high_curvature,0.29016175876860284,239,0.0991,5.568412283031312
12,109,26.728504819491256,-0.18927332584151202,106.18072352503543,18.74743394524136,8.441294089257287,90.0,-0.3990535437124946,0.43152837075493977,-0.8090361762517714,-0.11264939124416459,-0.3467184272316056,0.8856096320297829,0.28773603619712534,high_curvature,0.27768067769208477,475,0.1086,5.7754032246487155
13,13,29.686443094805043,15.149901165728352,89.59344085103264,42.47602955705849,14.799330572802315,74.22127189593984,0.6394793231126722,-0.017528529646301826,-0.76860844775464,0.24378871925826656,0.6739934928605603,0.6557720605964712,0.23719788465560582,boundary_high_curvature,0.9542313509892107,167,0.11194,22.785469480146052
14,21,32.093355759316914,27.80725804953426,82.19269063920963,43.276208207565944,14.760203320732497,71.95950081275072,0.5591426224124516,-0.6523527364400882,-0.5116594913229456,0.46344390187811024,0.8153851241869627,0.3016236809603717,0.17143513102780242,boundary_high_curvature,0.9114833048632429,114,0.11422,14.858432473057672
