route_order,candidate_view_id,camera_x,camera_y,camera_z,target_x,target_y,target_z,view_dir_x,view_dir_y,view_dir_z,qw,qx,qy,qz,region_type,priority_score,newly_covered_points,cumulative_coverage_ratio,transition_distance
0,71,37.871855064588125,34.04945843984838,47.90770460674242,37.08330735853912,14.103491768873502,49.147303766004896,-0.03942738530245009,-0.9972983335487438,0.061979957963123763,0.7285483812698844,0.684709409507454,-0.013529432744647255,-0.014395663603780546,boundary,0.36266462214306794,75,0.015,0.0
1,2,40.10220423522388,30.9575323737377,47.79093264277126,42.66698119405247,12.953025924220679,39.468693361137866,0.12823884794142942,-0.900225322475851,-0.41611196408166967,0.5389667075649165,0.8393555124748137,0.05948365926015178,0.038195629276121974,boundary_high_curvature,0.9915080569006434,69,0.0288,3.814197151802716
2,114,34.66922613186829,33.98606407151464,44.27063080860128,34.15067062769975,14.013332512344968,45.17677332192041,-0.02592777520842695,-0.9986365779584837,0.04530712566595625,0.7228869406223338,0.69084443590997,-0.008966746302715647,-0.009382638789829461,surface,0.11869935802711508,52,0.0392,7.1471519026561525
3,63,28.636827052256915,33.79291969385055,37.07431618531172,28.87863590971789,13.797566546655418,37.43122092807542,0.0120904428730487,-0.9997676573597565,0.017845237138184797,0.7133750861494864,0.7007563262511968,0.004237056741884581,0.004313354878195811,boundary,0.3637545440488828,70,0.0532,9.392235493411066
4,159,35.51962658124331,33.56830065203085,35.87139223803022,34.31806239048838,13.618968472029794,36.6332249411021,-0.060078209537746466,-0.9974666090000527,0.038091635153594074,0.7201224566225175,0.6931949007236989,-0.020856942102431542,-0.021667142053059148,surface,0.11133719426423994,53,0.0638,6.990737378353347
5,154,33.888076529832446,33.3883364492588,29.246628151352507,32.35309019066463,13.45869310503561,29.91977977664106,-0.07674931695839077,-0.9964821672111593,0.0336575812644277,0.7183771372206471,0.694591840032747,-0.026709270445092644,-0.027623890943914767,surface,0.1121300101416066,53,0.0744,6.825089148771093
6,78,33.17533641556083,30.694376880111648,25.978621261838814,33.84025349878648,10.723677512450037,26.83246670389189,0.03324585416128266,-0.9985349683830806,0.04269227210265374,0.7219430543870871,0.6917523569099093,0.011512630379659106,0.01201508525023083,boundary,0.3619602320668342,38,0.082,4.294797511012644
7,147,30.303069170635506,33.47910371197031,24.54007137149166,29.270547764873456,13.51146027043366,25.016637146911627,-0.051626070288102524,-0.9983821720768324,0.02382828877099836,0.7152430550725956,0.6983983360355382,-0.018044939381782112,-0.01848016655550691,surface,0.11313782786640252,45,0.091,4.251358423064596
8,69,30.410355221851113,33.3735665860264,20.124396643173057,29.021646202430933,13.426555328813128,20.558250494127595,-0.06943545097100899,-0.9973505628606636,0.021692692547726905,0.7143035616480735,0.6989728723007734,-0.02430180062759465,-0.024834816100391656,boundary,0.3627183135427244,38,0.0986,4.41823852774491
9,136,12.306862170558789,34.34999942779541,12.720673385556964,12.306862170558796,14.34999942779541,12.720673385556958,3.552713678800501e-16,-1.0,-2.6645352591003756e-16,0.7071067811865475,0.7071067811865476,1.2560739669470203e-16,1.2560739669470198e-16,surface,0.11474302190171182,46,0.1078,19.583283683489856
