epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.73695,1.98589,3.62199,1.26039,0.00494,0.0519,0.00944,0.00361,1.75242,3.78728,1.02991,0.00022864,0.00022864,0.00022864
2,10.351,1.85476,2.69551,1.09609,0.01389,0.17754,0.08632,0.04155,1.60248,3.54497,0.98445,0.000471465,0.000471465,0.000471465
3,15.0809,1.83498,1.93308,1.06917,0.02202,0.36967,0.28725,0.18459,1.62088,3.2103,0.98777,0.000713866,0.000713866,0.000713866
4,19.6305,1.84259,1.65873,1.06001,0.02788,0.53049,0.36621,0.23047,1.59019,2.85478,0.97527,0.000955518,0.000955518,0.000955518
5,24.1842,1.68109,1.40827,1.02305,0.62002,0.22796,0.48115,0.3208,1.30519,2.27269,0.94038,0.0011961,0.0011961,0.0011961
6,28.7822,1.59977,1.34037,1.0218,0.74259,0.50421,0.67179,0.45673,1.22611,1.73852,0.92249,0.00142108,0.00142108,0.00142108
7,33.2148,1.58241,1.27609,1.00792,0.73993,0.66212,0.74983,0.50664,1.22881,1.2445,0.93128,0.00141761,0.00141761,0.00141761
8,37.6456,1.49016,1.21461,0.98864,0.80226,0.73339,0.81564,0.56361,1.16077,1.05215,0.91567,0.00141351,0.00141351,0.00141351
9,42.0449,1.39441,1.26111,0.97954,0.83935,0.75836,0.82512,0.56889,1.11491,0.9779,0.90582,0.0014088,0.0014088,0.0014088
10,46.454,1.50318,1.19021,0.99113,0.82483,0.7542,0.81743,0.55696,1.11418,0.89757,0.91432,0.00140347,0.00140347,0.00140347
11,50.8475,1.49839,1.16309,0.98009,0.87414,0.77396,0.82677,0.5696,1.08716,0.85979,0.91472,0.00139753,0.00139753,0.00139753
12,55.1722,1.40149,1.1543,0.97615,0.82874,0.78777,0.83344,0.58329,1.04814,0.82012,0.88959,0.00139098,0.00139098,0.00139098
13,59.4091,1.40751,1.08962,0.96159,0.81586,0.79993,0.82543,0.55558,1.12059,0.87908,0.91494,0.00138384,0.00138384,0.00138384
14,63.6056,1.38699,1.07897,0.95731,0.86452,0.78846,0.85349,0.59496,1.04222,0.80795,0.89157,0.00137611,0.00137611,0.00137611
15,67.8143,1.36868,1.07148,0.96547,0.80393,0.78766,0.83211,0.59592,1.01074,0.8829,0.90133,0.0013678,0.0013678,0.0013678
16,72.0986,1.41367,1.07161,0.95987,0.87052,0.78373,0.85175,0.60511,1.02298,0.81367,0.89783,0.00135891,0.00135891,0.00135891
