epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,181.877,1.05132,0.71384,0.88426,0.866,0.86633,0.89701,0.67592,0.87617,0.6321,0.87524,0.00130019,0.00130019,0.00130019
43,186.3,1.10319,0.71833,0.88195,0.88571,0.84661,0.89005,0.6641,0.91398,0.637,0.87686,0.00129406,0.00129406,0.00129406
44,190.662,1.07883,0.70272,0.87728,0.87868,0.82901,0.8967,0.66012,0.90136,0.6347,0.87631,0.00128781,0.00128781,0.00128781
45,194.962,1.07701,0.72069,0.8876,0.9081,0.85229,0.89915,0.68716,0.8662,0.61982,0.87315,0.00128143,0.00128143,0.00128143
46,199.384,1.02667,0.68492,0.87402,0.89301,0.85332,0.89226,0.68336,0.8473,0.60072,0.86963,0.00127493,0.00127493,0.00127493
47,203.736,1.09544,0.71562,0.89229,0.89675,0.8546,0.89864,0.67895,0.86535,0.60247,0.87626,0.00126831,0.00126831,0.00126831
48,208.092,1.0808,0.69297,0.87591,0.89743,0.86884,0.9022,0.69265,0.88028,0.58578,0.89497,0.00126157,0.00126157,0.00126157
49,212.51,1.03416,0.68561,0.87434,0.88804,0.87237,0.90006,0.68848,0.88097,0.5873,0.8845,0.00125471,0.00125471,0.00125471
50,217.112,1.02246,0.67569,0.87782,0.90821,0.85258,0.90809,0.68679,0.87402,0.60902,0.87507,0.00124774,0.00124774,0.00124774
51,221.474,1.01844,0.67203,0.87361,0.88285,0.86956,0.90592,0.69653,0.84979,0.57389,0.86805,0.00124066,0.00124066,0.00124066
