epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2473.04,1.55854,2.40655,1.53299,1.27405,0,0.37407,0.4063,0.36676,0.16363,0.38204,0.38333,0.33798,0.12807,2.0868,2.56785,1.73063,1.34932,0,0.00960131,0.00960131,0.00960131
29,2567.09,1.57145,2.40579,1.53312,1.27246,0,0.31443,0.26722,0.22952,0.08794,0.30217,0.27124,0.20567,0.06633,2.36897,3.09319,2.23421,1.46494,0,0.00957172,0.00957172,0.00957172
30,2662.96,1.56603,2.39734,1.53025,1.2717,0,0.40902,0.45103,0.40089,0.17465,0.38288,0.43386,0.34399,0.12895,2.03055,2.51554,1.68012,1.32025,0,0.00954112,0.00954112,0.00954112
31,2774.75,1.56825,2.41836,1.53583,1.27359,0,0.43021,0.41232,0.38105,0.17274,0.43158,0.41233,0.35487,0.13254,2.05243,2.52318,1.64935,1.31125,0,0.00950953,0.00950953,0.00950953
32,2870.07,1.56266,2.40496,1.53283,1.27592,0,0.41569,0.43646,0.40368,0.18027,0.36086,0.39355,0.34265,0.12821,2.03374,2.57224,1.65798,1.31295,0,0.00947695,0.00947695,0.00947695
33,2964.81,1.55713,2.41052,1.51885,1.27128,0,0.43061,0.40214,0.38807,0.17496,0.31405,0.45149,0.32387,0.12743,2.03299,2.61086,1.73792,1.31752,0,0.00944338,0.00944338,0.00944338
34,3060.57,1.54956,2.3926,1.50671,1.26737,0,0.38381,0.38206,0.39423,0.17486,0.42467,0.36611,0.35556,0.14155,2.04688,2.56795,1.63892,1.30929,0,0.00940884,0.00940884,0.00940884
35,3154.56,1.56037,2.40038,1.50619,1.27409,0,0.43138,0.44666,0.39365,0.17341,0.40009,0.43613,0.34673,0.12972,2.02592,2.56569,1.62462,1.31622,0,0.00937334,0.00937334,0.00937334
36,3251.31,1.54431,2.37824,1.50252,1.26365,0,0.41348,0.43916,0.38064,0.17167,0.36518,0.37073,0.32654,0.12882,2.01928,2.51513,1.67623,1.30719,0,0.00933688,0.00933688,0.00933688
37,3345.62,1.55062,2.37617,1.51349,1.26751,0,0.49233,0.45854,0.44773,0.19365,0.41285,0.42531,0.36928,0.14186,2.00936,2.48894,1.58556,1.29844,0,0.00929948,0.00929948,0.00929948
