epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2293.28,1.6711,1.40039,1.11638,0.5243,0.43724,0.45806,0.20573,1.62838,1.38641,1.07187,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,2368.58,1.67358,1.3987,1.11436,0.43639,0.4731,0.42622,0.18847,1.6419,1.41354,1.08505,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
32,2444.57,1.66361,1.37537,1.10819,0.52719,0.4867,0.47597,0.21387,1.62664,1.3395,1.06455,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695
33,2519.36,1.66014,1.38429,1.10911,0.50765,0.4576,0.44081,0.19915,1.60711,1.35395,1.06072,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338
34,2593.57,1.6589,1.3819,1.10752,0.48643,0.49384,0.46486,0.21168,1.60939,1.32493,1.05773,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884
35,2668.33,1.65868,1.37736,1.10588,0.46358,0.4477,0.42564,0.18934,1.63487,1.39438,1.07652,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334
36,2743.18,1.65246,1.36937,1.09971,0.53623,0.4722,0.45811,0.21045,1.61456,1.33727,1.07131,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688
37,2818.12,1.64191,1.36056,1.10178,0.5062,0.43867,0.44211,0.20052,1.61985,1.38931,1.0745,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948
38,2893.98,1.6439,1.34528,1.09776,0.54187,0.45907,0.47194,0.21735,1.58901,1.31282,1.05875,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113
39,2970,1.6311,1.33144,1.09583,0.48311,0.47678,0.45758,0.21404,1.60287,1.32323,1.06073,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186
40,3045.19,1.62372,1.34165,1.09091,0.50484,0.45799,0.45554,0.2108,1.57844,1.3295,1.05648,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167
41,3120.32,1.62661,1.32589,1.09283,0.5196,0.47277,0.46379,0.2146,1.57851,1.31459,1.05815,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058
42,3196.73,1.62724,1.33227,1.09259,0.55614,0.47028,0.48394,0.22246,1.6001,1.30845,1.05971,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858
43,3271.42,1.61736,1.30163,1.08182,0.53144,0.45772,0.47679,0.21276,1.61115,1.29237,1.05983,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557
44,3346.35,1.61433,1.31482,1.09414,0.48553,0.48791,0.4591,0.21188,1.58499,1.31351,1.04766,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194
45,3421.59,1.6146,1.30485,1.0791,0.52902,0.46438,0.46615,0.21373,1.59004,1.32579,1.05067,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731
46,3498.07,1.61477,1.29924,1.07964,0.56038,0.4555,0.4828,0.21749,1.5662,1.2998,1.03983,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183
47,3574.97,1.60695,1.28754,1.08201,0.52062,0.48595,0.47285,0.21799,1.59154,1.28743,1.05594,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755
48,3649.93,1.60077,1.28045,1.08118,0.52181,0.47688,0.46479,0.21066,1.57499,1.30406,1.05103,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834
49,3724.95,1.59649,1.28613,1.08209,0.50682,0.53155,0.48191,0.21888,1.58267,1.28537,1.04942,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036
50,3800.14,1.59168,1.2764,1.0692,0.50825,0.48823,0.47698,0.22077,1.56482,1.27411,1.04616,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157
51,3874.98,1.59304,1.27376,1.0763,0.50468,0.49229,0.49493,0.22436,1.57457,1.27215,1.04179,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198
52,3950.28,1.58576,1.25574,1.07719,0.47998,0.53254,0.48714,0.22268,1.5912,1.26384,1.05317,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161
53,4026.24,1.58912,1.27024,1.07296,0.4986,0.49504,0.47429,0.21604,1.59554,1.30203,1.0511,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046
54,4101.11,1.58794,1.26223,1.0681,0.53091,0.49816,0.49816,0.22777,1.57001,1.24773,1.04782,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856
55,4175.91,1.577,1.25257,1.06873,0.54574,0.48067,0.48768,0.22762,1.5586,1.24956,1.04392,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759
56,4250.32,1.5763,1.23617,1.06696,0.52604,0.51066,0.49331,0.22437,1.57434,1.24894,1.04883,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252
57,4325.04,1.58381,1.23582,1.06546,0.52298,0.48853,0.4681,0.21442,1.58651,1.26033,1.04775,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841
