x,y
61.0,111.0
70.0,101.34549030092369
78.30901939815261,91.0
86.96352909722891,81.0
96.61803879630523,72.0
110.27254849538153,67.0
124.92705819445784,63.0
139.58156789353416,59.0
153.23607759261046,54.0
167.89058729168676,50.0
182.54509699076306,46.0
198.37117956509317,48.0
215.02568926416947,50.0
231.0,52.68019896324577
247.3347086623221,55.0
263.9892183613984,57.0
280.6437280604747,59.0
296.298237759551,62.0
306.0,70.9527474586273
312.0,83.6072571577036
315.87144141459356,96.56427929270322
312.63158140081543,104.0
320.0,114.45766397514552
321.5446805752706,129.0
315.8901708761943,142.0
306.0,150.764338822882
291.8441398258846,153.68505826078527
274.6245924113527,146.5102468380636
257.40504499682066,139.33543541534192
251.8663306683744,137.51414171501762
269.01253054570407,144.86251309101604
286.15873042303366,152.21088446701444
286.6859474132157,152.46210528221945
269.52091383823233,145.1578356758435
252.35588026324902,137.85356606946766
260.76621395285804,141.55052780559046
277.87370621196646,148.98856791824628
293.0165814574358,155.57853491032964
275.8703815801062,148.2301635343312
258.7241817027765,140.8817921583328
248.41089485162513,136.492266497586
265.501360741438,143.9693453243791
282.5918266312508,151.44642415117224
286.3110502478851,153.09176097734132
269.2035579887766,145.65372086468545
252.09606572966823,138.21568075202964
258.9687478651854,141.31944349563793
276.0154542620498,148.89575744979993
290.9351127374367,155.53411182262857
273.84464684762395,148.05703299583547
256.7541809578112,140.5799541690424
248.3213821074219,136.93083030331616
265.353111954946,144.54075215008226
282.38484180247013,152.15067399684835
282.567960687406,152.27421518745848
265.50493055970514,144.7347367589395
248.44190043200416,137.19525833042042
264.5561000723962,144.48966431846495
281.5523716558895,152.17845384433096
281.4335222580558,152.17242483870578
264.4017924105317,144.5625029919397
247.37006256300765,136.95258114517364
255.49622100838397,141.01044388193404
272.42165551804334,148.8539379229957
289.3470900277025,156.69743196405724
273.6960137685233,149.52733964390652
256.73785521275266,141.75485030584497
244.21206121623305,136.03543290972613
261.10726833192604,143.94382772983772
278.00247544761896,151.85222254994932
283.09176583035907,154.26203782382493
266.1663313206999,146.41854378276338
249.24089681104073,138.5750497417018
263.6019565770819,145.4430320628283
280.46074285814365,153.4287729328049
278.63693742045064,152.67858650174645
261.6994002759197,144.86126166580908
253.21843170515965,140.99820449191773
270.0772179862214,148.98394536189434
286.9360042672831,156.96968623187092
270.13104650098626,149.42618128456164
253.295705228418,141.39113204083586
247.4901996814238,138.7450998407119
264.2558259412482,146.92425831432055
281.0357096098026,155.07448752476125
272.0963758868901,151.18660217731843
255.33403944464635,143.00034484505986
243.4171081458362,137.2085540729181
260.1022088554618,145.55110442773088
276.78730956508724,153.89365478254362
272.47911268616576,151.86189224208096
