epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,2423.48,1.66917,1.39326,1.11217,0.50014,0.45496,0.42987,0.19224,1.60995,1.42369,1.06349,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112,0.0286234,0.00954112
31,2501.58,1.66449,1.38443,1.10441,0.42451,0.44919,0.39726,0.17699,1.62604,1.41086,1.0705,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953,0.0285286,0.00950953
32,2579.2,1.65423,1.36661,1.10253,0.48302,0.47203,0.43174,0.19726,1.62405,1.35936,1.06343,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695,0.0284308,0.00947695
33,2657.38,1.65132,1.37037,1.10506,0.50321,0.44195,0.42746,0.19528,1.61133,1.39623,1.05306,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338,0.0283301,0.00944338
34,2735.24,1.65374,1.36797,1.10432,0.47413,0.45019,0.4219,0.19508,1.61882,1.36863,1.07038,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884,0.0282265,0.00940884
35,2813.77,1.65706,1.36699,1.10328,0.44677,0.47109,0.42292,0.1904,1.63561,1.44248,1.08098,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334,0.02812,0.00937334
36,2894.77,1.64795,1.36036,1.09628,0.49325,0.46418,0.45218,0.20519,1.616,1.34944,1.05427,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688,0.0280106,0.00933688
37,2975.4,1.64066,1.35261,1.09657,0.49489,0.39828,0.40526,0.18565,1.63809,1.36488,1.07378,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948,0.0278984,0.00929948
38,3053.36,1.63729,1.34027,1.08967,0.51068,0.43866,0.44957,0.20564,1.59384,1.33371,1.05555,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113,0.0277834,0.00926113
39,3130.86,1.63343,1.33925,1.0934,0.49267,0.47964,0.46009,0.21282,1.60213,1.34516,1.05894,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186,0.0276656,0.00922186
40,3209.57,1.61853,1.33808,1.08927,0.48564,0.49967,0.47053,0.21442,1.58737,1.31957,1.04624,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167,0.027545,0.00918167
41,3285.5,1.61643,1.32246,1.0868,0.51547,0.43979,0.4393,0.20433,1.59634,1.34761,1.05825,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058,0.0274217,0.00914058
42,3361.82,1.62487,1.32086,1.08604,0.4792,0.46664,0.44106,0.20268,1.59378,1.30494,1.05287,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858,0.0272957,0.00909858
43,3437.53,1.60627,1.29676,1.07708,0.52554,0.46564,0.47038,0.20893,1.60406,1.30406,1.05051,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557,0.0271671,0.0090557
44,3513.48,1.61737,1.31205,1.08936,0.50852,0.46999,0.47395,0.21901,1.57622,1.28788,1.04216,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194,0.0270358,0.00901194
45,3591.98,1.61133,1.30199,1.07932,0.54286,0.45433,0.47353,0.21045,1.60698,1.33197,1.05947,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731,0.0269019,0.00896731
46,3669.97,1.60867,1.29902,1.0753,0.50026,0.45592,0.46161,0.21413,1.5946,1.28772,1.04117,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183,0.0267655,0.00892183
47,3749.62,1.60231,1.28376,1.07682,0.49905,0.46098,0.44195,0.20065,1.60301,1.33862,1.04994,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755,0.0266265,0.0088755
48,3829.45,1.59588,1.27856,1.07768,0.52021,0.49459,0.48739,0.22606,1.57321,1.27363,1.0454,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834,0.026485,0.00882834
49,3908.64,1.5953,1.28452,1.078,0.49938,0.49775,0.46534,0.21023,1.58806,1.29782,1.05507,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036,0.0263411,0.00878036
50,3985.94,1.58689,1.26957,1.06581,0.5164,0.47841,0.46894,0.2209,1.56476,1.27143,1.03882,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157,0.0261947,0.00873157
51,4067.52,1.59419,1.26683,1.07532,0.48127,0.48197,0.46885,0.21435,1.56127,1.25345,1.04002,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198,0.0260459,0.00868198
52,4152.29,1.58611,1.25252,1.07082,0.49926,0.50206,0.46996,0.21479,1.57729,1.26917,1.04402,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161,0.0258948,0.00863161
53,4237.52,1.58905,1.26448,1.07268,0.50773,0.50183,0.48082,0.21935,1.57465,1.26467,1.0442,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046,0.0257414,0.00858046
54,4322.81,1.5825,1.25294,1.06703,0.50463,0.49665,0.48475,0.22302,1.57461,1.2503,1.04915,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856,0.0255857,0.00852856
55,4406.18,1.57655,1.2514,1.06687,0.51235,0.4941,0.48403,0.22118,1.57003,1.24257,1.04125,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759,0.0254277,0.0084759
56,4481.04,1.57244,1.23849,1.06246,0.53004,0.49036,0.48581,0.22152,1.57965,1.27362,1.04226,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252,0.0252675,0.00842252
57,4556.91,1.57673,1.23256,1.06242,0.51476,0.49046,0.48439,0.22587,1.57727,1.24745,1.03532,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841,0.0251052,0.00836841
58,4631.5,1.56646,1.22771,1.0561,0.53126,0.4723,0.48666,0.22431,1.59057,1.26142,1.04308,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359,0.0249408,0.00831359
59,4706.12,1.57094,1.22995,1.06092,0.53075,0.49558,0.49025,0.22712,1.56371,1.23293,1.04118,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808,0.0247742,0.00825808
