epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,59791,1.26035,1.12875,1.46025,0.67561,0.70783,0.74674,0.44299,1.44233,1.18428,1.66755,0.000675546,0.000675546,0.000675546
43,59844.8,1.24303,1.1218,1.4464,0.69284,0.69022,0.7303,0.41905,1.49854,1.21569,1.68998,0.00066191,0.00066191,0.00066191
44,59898.2,1.25595,1.12963,1.46602,0.6758,0.71404,0.74132,0.43082,1.48032,1.18883,1.66021,0.000648164,0.000648164,0.000648164
45,59951.2,1.24852,1.14497,1.45716,0.70133,0.662,0.71366,0.41219,1.49413,1.2977,1.68101,0.000634322,0.000634322,0.000634322
46,60004.9,1.25078,1.12679,1.45783,0.71616,0.69432,0.7587,0.45358,1.43191,1.12753,1.63265,0.000620396,0.000620396,0.000620396
47,60058.6,1.24089,1.13783,1.44747,0.70311,0.72406,0.76491,0.4563,1.41572,1.1059,1.62768,0.0006064,0.0006064,0.0006064
48,60112.4,1.25372,1.12387,1.4548,0.73959,0.68806,0.76829,0.46094,1.41411,1.10023,1.61884,0.000592349,0.000592349,0.000592349
49,60166,1.23735,1.12616,1.4435,0.69377,0.70785,0.75523,0.45019,1.42787,1.12957,1.6529,0.000578256,0.000578256,0.000578256
50,60218.9,1.22511,1.11119,1.43865,0.68457,0.71124,0.7587,0.45297,1.42246,1.12675,1.63554,0.000564135,0.000564135,0.000564135
51,60272.5,1.24143,1.11076,1.45291,0.67961,0.71483,0.75654,0.44604,1.41297,1.12016,1.62735,0.00055,0.00055,0.00055
52,60326.9,1.22332,1.09778,1.43311,0.67955,0.73269,0.74685,0.43976,1.42413,1.1397,1.64814,0.000535865,0.000535865,0.000535865
53,60380.9,1.23592,1.11098,1.43827,0.73178,0.70933,0.77305,0.45838,1.4036,1.0825,1.61067,0.000521744,0.000521744,0.000521744
54,60434.9,1.21169,1.09788,1.42434,0.7208,0.71736,0.77479,0.463,1.39187,1.07544,1.60221,0.000507651,0.000507651,0.000507651
55,60488.7,1.21107,1.089,1.42833,0.71672,0.69576,0.7568,0.44506,1.42049,1.15066,1.64407,0.0004936,0.0004936,0.0004936
56,60542.1,1.22903,1.0907,1.43197,0.68104,0.70364,0.74821,0.44063,1.46737,1.16771,1.66019,0.000479604,0.000479604,0.000479604
57,60596.2,1.24916,1.10585,1.45169,0.73661,0.69818,0.75857,0.45105,1.41823,1.13746,1.63296,0.000465678,0.000465678,0.000465678
58,60650.3,1.22967,1.1065,1.43026,0.72865,0.72041,0.76705,0.45724,1.44498,1.1034,1.63823,0.000451836,0.000451836,0.000451836
59,60704.4,1.22182,1.09309,1.43016,0.72188,0.71375,0.76061,0.45566,1.4059,1.0782,1.62408,0.00043809,0.00043809,0.00043809
60,60758.5,1.22882,1.10626,1.43521,0.74288,0.7211,0.77524,0.45762,1.42747,1.09228,1.63069,0.000424454,0.000424454,0.000424454
61,60812.3,1.2307,1.09716,1.43164,0.74654,0.67931,0.74862,0.439,1.47058,1.17454,1.68314,0.000410942,0.000410942,0.000410942
62,60866.2,1.20445,1.05565,1.42355,0.72165,0.71318,0.77515,0.46556,1.39364,1.06248,1.60776,0.000397568,0.000397568,0.000397568
63,60920,1.23154,1.09153,1.44561,0.74966,0.69864,0.76657,0.45141,1.4329,1.12542,1.63614,0.000384344,0.000384344,0.000384344
64,60974.2,1.22358,1.08797,1.43132,0.7236,0.70771,0.7596,0.46081,1.41457,1.09128,1.62861,0.000371283,0.000371283,0.000371283
65,61028.1,1.22986,1.10676,1.44258,0.71965,0.71792,0.76274,0.45681,1.41596,1.1007,1.63133,0.000358399,0.000358399,0.000358399
66,61082.1,1.23002,1.09138,1.42888,0.73767,0.70531,0.75703,0.45646,1.41749,1.10021,1.63305,0.000345704,0.000345704,0.000345704
67,61135.6,1.19599,1.06531,1.40595,0.73282,0.71623,0.7749,0.46258,1.41199,1.07655,1.61298,0.000333211,0.000333211,0.000333211
68,61189.5,1.21189,1.07383,1.42432,0.71987,0.72958,0.77029,0.4654,1.39792,1.08747,1.60732,0.000320931,0.000320931,0.000320931
69,61243.6,1.22619,1.09968,1.4391,0.74065,0.71214,0.77254,0.46915,1.40473,1.06828,1.61243,0.000308878,0.000308878,0.000308878
70,61297.6,1.19628,1.09142,1.43148,0.69251,0.70326,0.75873,0.45298,1.4192,1.12521,1.64737,0.000297062,0.000297062,0.000297062
71,61351.7,1.20862,1.07334,1.43055,0.7302,0.71351,0.77905,0.46769,1.40434,1.06086,1.61258,0.000285497,0.000285497,0.000285497
72,61405.4,1.22378,1.08119,1.43461,0.73113,0.70798,0.77129,0.46138,1.41734,1.06744,1.62544,0.000274192,0.000274192,0.000274192
73,61459.1,1.2037,1.06695,1.41506,0.70503,0.72237,0.76492,0.45793,1.40519,1.09639,1.61394,0.000263159,0.000263159,0.000263159
74,61513.3,1.2051,1.07251,1.429,0.7353,0.7119,0.76935,0.46096,1.42797,1.09035,1.62993,0.00025241,0.00025241,0.00025241
75,61567.3,1.2015,1.07469,1.42037,0.73055,0.7166,0.77535,0.46514,1.41543,1.06475,1.61816,0.000241954,0.000241954,0.000241954
76,61621.5,1.2046,1.05596,1.41961,0.77108,0.68823,0.77566,0.46359,1.41617,1.08296,1.6195,0.000231802,0.000231802,0.000231802
77,61675.6,1.20983,1.06967,1.42441,0.73467,0.6992,0.76861,0.45768,1.4188,1.08759,1.63203,0.000221964,0.000221964,0.000221964
78,61729.4,1.20765,1.07037,1.4246,0.76587,0.69985,0.77471,0.46778,1.39922,1.0672,1.60605,0.00021245,0.00021245,0.00021245
79,61783.4,1.21227,1.08253,1.43054,0.76439,0.71716,0.78676,0.47076,1.38736,1.06431,1.5912,0.000203269,0.000203269,0.000203269
80,61838,1.20707,1.07332,1.41636,0.76036,0.71007,0.78322,0.46487,1.40815,1.06829,1.61116,0.00019443,0.00019443,0.00019443
81,61892.5,1.20061,1.07185,1.42402,0.77079,0.69689,0.78736,0.47216,1.39691,1.06289,1.60671,0.000185942,0.000185942,0.000185942
82,61946.7,1.21538,1.0746,1.43172,0.72695,0.7268,0.78198,0.46778,1.40162,1.06629,1.60557,0.000177814,0.000177814,0.000177814
83,62000.7,1.19236,1.05846,1.40855,0.75059,0.71146,0.77879,0.47043,1.40926,1.06558,1.61317,0.000170052,0.000170052,0.000170052
84,62054.4,1.20275,1.06333,1.42261,0.77757,0.6965,0.77914,0.46865,1.4107,1.06189,1.60969,0.000162666,0.000162666,0.000162666
85,62108.7,1.19471,1.07354,1.41206,0.77252,0.70267,0.78415,0.47107,1.40385,1.06199,1.6069,0.000155662,0.000155662,0.000155662
86,62163.1,1.17588,1.0641,1.40366,0.76835,0.69705,0.77876,0.46722,1.40442,1.06331,1.61497,0.000149047,0.000149047,0.000149047
87,62217.3,1.19599,1.07194,1.41785,0.77862,0.70025,0.78343,0.46991,1.40658,1.06041,1.61669,0.000142828,0.000142828,0.000142828
88,62271.6,1.2204,1.08387,1.42683,0.75468,0.71624,0.78565,0.46752,1.40434,1.05654,1.60882,0.00013701,0.00013701,0.00013701
89,62327.8,1.18538,1.05974,1.4035,0.75222,0.71492,0.78146,0.46898,1.4039,1.06808,1.60785,0.000131601,0.000131601,0.000131601
90,62381.8,1.18052,1.05086,1.40613,0.75803,0.70531,0.78129,0.46739,1.39531,1.06456,1.60062,0.000126604,0.000126604,0.000126604
91,62434.8,1.25617,1.09657,1.50497,0.74198,0.71354,0.76742,0.45043,1.42697,1.08205,1.62533,0.000122025,0.000122025,0.000122025
92,62490.5,1.22856,1.06309,1.48646,0.72514,0.70073,0.75926,0.45209,1.42047,1.07401,1.6186,0.000117868,0.000117868,0.000117868
93,62548.3,1.21426,1.04406,1.47304,0.76785,0.69939,0.77127,0.46064,1.41072,1.06911,1.61634,0.000114138,0.000114138,0.000114138
94,62601.2,1.20429,1.02545,1.47314,0.73705,0.71741,0.77215,0.4596,1.41381,1.06388,1.61383,0.000110837,0.000110837,0.000110837
95,62653.9,1.21748,1.02477,1.47346,0.74684,0.71154,0.77297,0.46092,1.40245,1.06,1.60489,0.000107971,0.000107971,0.000107971
96,62706.7,1.1964,1.01908,1.46646,0.76741,0.69527,0.76843,0.45891,1.4167,1.06731,1.613,0.00010554,0.00010554,0.00010554
97,62759.8,1.20784,1.01809,1.48245,0.74769,0.71977,0.77325,0.46161,1.40728,1.06345,1.60601,0.000103548,0.000103548,0.000103548
98,62812.7,1.20603,1.02724,1.47804,0.76783,0.70906,0.77541,0.46328,1.4009,1.0588,1.60218,0.000101997,0.000101997,0.000101997
99,62865.6,1.19763,1.01298,1.46941,0.77075,0.7039,0.77584,0.46388,1.40555,1.05458,1.6009,0.000100888,0.000100888,0.000100888
100,62918.6,1.19911,1.0045,1.47611,0.78218,0.71315,0.77639,0.46619,1.40586,1.05061,1.60042,0.000100222,0.000100222,0.000100222
