epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6363.57,1.88532,2.75723,2.00013,1.57673,0,0.36297,0.34765,0.29113,0.1156,0.3711,0.34966,0.28613,0.09837,2.26026,2.79199,2.06684,1.5492,0,0.00960131,0.00960131,0.00960131
29,6596.99,1.86097,2.73609,1.97903,1.57908,0,0.3557,0.32334,0.28233,0.10689,0.33914,0.33933,0.26966,0.09404,2.26731,2.82642,2.05294,1.56085,0,0.00957172,0.00957172,0.00957172
30,6828.49,1.87771,2.72069,1.97267,1.56111,0,0.34924,0.3638,0.28106,0.11239,0.3679,0.36428,0.2951,0.09971,2.23329,2.76741,2.02549,1.53557,0,0.00954112,0.00954112,0.00954112
31,7061.96,1.86128,2.71128,1.96003,1.56352,0,0.32541,0.33933,0.26582,0.10924,0.34577,0.35897,0.2765,0.09961,2.21434,2.70658,2.05038,1.53606,0,0.00950953,0.00950953,0.00950953
32,7293.55,1.86187,2.69507,1.96035,1.55786,0,0.33606,0.32796,0.28017,0.11255,0.37788,0.35031,0.29646,0.10215,2.24134,2.75553,2.00867,1.52538,0,0.00947695,0.00947695,0.00947695
33,7526.45,1.83234,2.70072,1.92171,1.5596,0,0.36409,0.34547,0.3039,0.12516,0.36258,0.37065,0.30141,0.10984,2.24039,2.7325,1.99105,1.53505,0,0.00944338,0.00944338,0.00944338
34,7780.37,1.83785,2.69605,1.91424,1.5408,0,0.34176,0.35428,0.27668,0.11388,0.36973,0.33459,0.26494,0.09711,2.23355,2.74954,2.01276,1.53961,0,0.00940884,0.00940884,0.00940884
35,8012.01,1.83161,2.68788,1.90597,1.54955,0,0.34078,0.37808,0.28692,0.11572,0.35627,0.36163,0.28099,0.09621,2.21436,2.86197,1.97859,1.52362,0,0.00937334,0.00937334,0.00937334
36,8245.32,1.8239,2.68584,1.91084,1.54557,0,0.3797,0.34379,0.31626,0.12973,0.41235,0.34526,0.31914,0.11505,2.21788,2.69585,1.9213,1.52758,0,0.00933688,0.00933688,0.00933688
37,8476.6,1.81391,2.67411,1.8708,1.54294,0,0.41545,0.36118,0.31601,0.12733,0.38765,0.37525,0.31882,0.11475,2.2154,2.67239,1.96125,1.53789,0,0.00929948,0.00929948,0.00929948
38,8710.21,1.81716,2.65181,1.88469,1.54107,0,0.40378,0.3331,0.32541,0.13164,0.36529,0.38462,0.31935,0.11557,2.21759,2.67013,1.9684,1.54203,0,0.00926113,0.00926113,0.00926113
39,8942.1,1.81354,2.65274,1.86891,1.53909,0,0.4077,0.39392,0.34065,0.13552,0.42474,0.37639,0.33121,0.12754,2.2094,2.66333,1.92141,1.53438,0,0.00922186,0.00922186,0.00922186
40,9175.46,1.80058,2.65235,1.85001,1.53479,0,0.37147,0.37936,0.32592,0.13141,0.43014,0.34487,0.30643,0.10681,2.2078,2.67901,1.91542,1.51665,0,0.00918167,0.00918167,0.00918167
41,9406.78,1.79116,2.62458,1.84228,1.52916,0,0.40057,0.35866,0.32109,0.13287,0.40554,0.39122,0.32148,0.1175,2.18939,2.69092,1.92599,1.50896,0,0.00914058,0.00914058,0.00914058
42,9639.65,1.77894,2.64186,1.82916,1.52348,0,0.34163,0.35049,0.32903,0.1361,0.33749,0.39915,0.3151,0.11718,2.1797,2.71278,1.91443,1.51752,0,0.00909858,0.00909858,0.00909858
43,9872.1,1.79788,2.63242,1.84196,1.52857,0,0.37043,0.35851,0.33296,0.13706,0.39574,0.38255,0.33065,0.11666,2.18364,2.71704,1.89357,1.51567,0,0.0090557,0.0090557,0.0090557
44,10104.1,1.76813,2.60561,1.81538,1.52994,0,0.39092,0.40387,0.34638,0.14636,0.38962,0.41932,0.3297,0.12377,2.18829,2.69408,1.89026,1.51384,0,0.00901194,0.00901194,0.00901194
45,10336.3,1.77674,2.63162,1.81371,1.5206,0,0.37253,0.38587,0.33863,0.14639,0.37443,0.41306,0.32861,0.12287,2.15613,2.65831,1.88077,1.50233,0,0.00896731,0.00896731,0.00896731
46,10568.2,1.7594,2.61285,1.80453,1.51584,0,0.36462,0.36582,0.32144,0.13562,0.37016,0.36138,0.30889,0.11444,2.17947,2.63634,1.88039,1.50679,0,0.00892183,0.00892183,0.00892183
47,10800.5,1.75441,2.59685,1.78786,1.5162,0,0.39987,0.37986,0.3354,0.1403,0.38117,0.38523,0.3247,0.11875,2.16518,2.69462,1.88295,1.50635,0,0.0088755,0.0088755,0.0088755
48,11032.3,1.75583,2.59033,1.78909,1.51064,0,0.4204,0.41765,0.36062,0.14857,0.4225,0.4147,0.35765,0.12902,2.15958,2.68117,1.86917,1.50101,0,0.00882834,0.00882834,0.00882834
49,11264.7,1.76345,2.59807,1.78005,1.5206,0,0.40036,0.39625,0.34295,0.14333,0.40135,0.40814,0.34412,0.1257,2.16045,2.6618,1.87756,1.50484,0,0.00878036,0.00878036,0.00878036
50,11496.3,1.74664,2.56838,1.77184,1.51047,0,0.41027,0.33785,0.33089,0.13981,0.40143,0.36371,0.33749,0.127,2.18647,2.64083,1.87338,1.49898,0,0.00873157,0.00873157,0.00873157
